GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
users,com.retail.store.user.constant,UserType,0,21,0,0,0,4,0,1,0,1
users,com.retail.store.user.controller,UsersController,0,57,1,3,0,16,1,6,0,5
users,com.retail.store.user.service.impl,UsersServiceImpl,0,156,0,2,0,24,0,9,0,8
