GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
products,com.retail.store.product.constant,Category,0,33,0,0,0,6,0,1,0,1
products,com.retail.store.product.controller,ProductsController,0,66,1,3,0,19,1,7,0,6
products,com.retail.store.product.service.impl,ProductsServiceImpl,0,178,0,2,0,30,0,10,0,9
